horse_id;horsename;horsenumber;weight;draw;sex;saddle;dam;damby;colour;equipment;equipmentshoes;equipmentheadgear;equipmenttongue;gelded;owner;race_num;raceprogramcode;racedate;race_date_time;month;horse_ref;lengthsbehind;meritrating;race_name;race_description;race_surface;race_class;race_distance;result_pos1;result_pos2;result_pos3;result_pos4;finish_position;jockey_name;venue;last_month_runs;ltwo_month_runs;last_month_wins;last_two_month_wins;perc_win_one_month;perc_win_ltwo_month;last_month_seconds;last_two_month_second;perc_sec_lone_month;perc_sec_ltwo_month;last_month_third;last_two_month_third;perc_third_lone_month;perc_third_ltwo_month;last_month_FOURTH;last_two_month_FOURTH;perc_fourth_lone_month;perc_forth_ltwo_month;Last_month_Tfour_positions;Last_two_month_Tfour_positions;perc_topfor_lone_month;perc_topfor_ltwo_month;trainercurrent;T_ltwo_month_runs;T_perc_win_ltwo_month;T_perc_sec_ltwo_month;T_perc_third_ltwo_month;T_perc_forth_ltwo_month;T_perc_topfor_ltwo_month;breeder;B_venue;B_ltwo_month_runs;B_perc_win_ltwo_month;B_perc_sec_ltwo_month;B_perc_third_ltwo_month;B_perc_forth_ltwo_month;B_perc_topfor_ltwo_month;hj_ltwo_month_runs;hj_ltwo_month_top4;hj_ltwo_month_top3;hj_ltwo_month_top2;hj_ltwo_month_wins;h_ltwo_month_runs;h_ltwo_month_top4;h_ltwo_month_top3;h_ltwo_month_top2;h_ltwo_month_wins;target_win;0;1
372721;GREAT PLAINS;4;60;4;G;4;Mara;Var (USA);gr;A   ;NA;NA;NA;NULL;Mr N Jonsson;5;WGR;2024/07/28 12:05;2024/07/28 12:05;7;229596;3.25;106;WORLD POOL MOMENT OF THE DAY PREMIERS CHAMPION STAKES (Grade 1);For 2 yo R100 000 Win CRS Bonus;Turf;B;1600;3;2;10;4;4;K de Melo;Hollywoodbets Greyville;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Justin Snaith;0;0;0;0;0;0;Drakenstein Stud (Nom: Mrs G A Rupert);Hollywoodbets Greyville;34;17.6470588235294;5.88235294117647;11.7647058823529;11.7647058823529;47.0588235294118;0;0;0;0;0;2;2;2;2;2;0;0.87;0.13
372722;LEGEND OF ARTHUR;13;60;13;C;13;Grail Maiden (AUS);Galileo (IRE);b;A   ;NA;NA;NA;NULL;Mrs J P Gardner &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372723;WAHEED;11;60;11;G;11;Wafiqah;Toreador (IRE);b;A   ;NA;NA;NA;NULL;Glistian (Pty) Ltd (Nom: J da Mata);5;WGR;2024/07/28 12:05;2024/07/28 12:05;7;230117;4.55;105;WORLD POOL MOMENT OF THE DAY PREMIERS CHAMPION STAKES (Grade 1);For 2 yo R100 000 Win CRS Bonus;Turf;B;1600;3;2;10;4;10;P Strydom;Hollywoodbets Greyville;5;5;0;0;0;0;2;5;40;40;1;1;20;20;0;0;0;0;3;3;60;60;Mike de Kock;0;0;0;0;0;0;Nadeson Park Stud;Hollywoodbets Greyville;6;16.6666666666667;0;33.3333333333333;0;50;0;0;0;0;0;1;1;1;0;0;0;0.85;0.15
372724;COSMIC SPEED;9;60;9;G;9;Cosmic Dream;Silvano (GER);b;A   ;NA;NA;NA;NULL;Mrs H Kuhn, Mr Krishen Naidoo &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372725;FRENCH FLAME;6;60;6;G;6;Var Countess;Var (USA);b;A   ;NA;NA;NA;NULL;Messrs M H Holland, D M Kannemeyer, L I F Meaker, G Ragunan &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372726;PARISIAN WALKWAY;15;60;15;C;15;Boutique (IRE);Mastercraftsman (IRE);ch;A   ;NA;NA;NA;NULL;Messrs G A Basel, L Clark &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372727;TRUTH;14;60;14;C;14;Frankly;Frankel (GB);gr;A te;NA;NA;t;NULL;Messrs L M Nestadt, G J Player &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372728;MOUNT PINATUBO;12;60;12;G;12;She&#39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372729;CHINABERRY;5;60;5;C;5;Pride Of India;Flower Alley (USA);b;AB  ;NA;B;NA;NULL;Messrs I D Howard, Michael G Holmes, A Jugniek, Lynesh Maharaj, R Suklall &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372730;FAMILY LAW;1;60;1;G;1;Themis;Jet Master;b;AH  ;H;NA;NA;NULL;Mrs Vanashree &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
